epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,73.9869,0.56745,0.826,1,0.42163,0.00332668,0.00332668,0.00332668
2,121.333,0.5909,0.81315,1,0.63308,0.00659408,0.00659408,0.00659408
3,158.918,0.99981,0.52743,1,1.12615,0.00979548,0.00979548,0.00979548
4,201.679,1.68531,0.51458,1,12.4001,0.009703,0.009703,0.009703
5,238.165,1.28481,0.54177,1,1.57423,0.009604,0.009604,0.009604
6,266.53,1.04865,0.53485,1,1.41169,0.009505,0.009505,0.009505
7,298.102,1.07701,0.50816,1,0.86247,0.009406,0.009406,0.009406
8,332.966,0.96278,0.58725,1,0.76076,0.009307,0.009307,0.009307
9,370.305,0.81464,0.54375,1,0.70959,0.009208,0.009208,0.009208
10,404.851,0.72988,0.56154,1,0.6791,0.009109,0.009109,0.009109
11,446.825,0.70367,0.60208,1,0.66387,0.00901,0.00901,0.00901
12,487.926,0.69382,0.61938,1,0.65639,0.008911,0.008911,0.008911
13,523.906,0.68459,0.6347,1,0.64273,0.008812,0.008812,0.008812
14,554.044,0.68163,0.64014,1,0.64808,0.008713,0.008713,0.008713
15,586.429,0.68139,0.60405,1,0.65498,0.008614,0.008614,0.008614
16,623.4,0.67095,0.63174,1,0.65114,0.008515,0.008515,0.008515
17,658.924,0.6663,0.6174,1,0.65354,0.008416,0.008416,0.008416
18,687.289,0.66596,0.6436,1,0.63526,0.008317,0.008317,0.008317
19,725.577,0.66738,0.66387,1,0.62903,0.008218,0.008218,0.008218
20,759.557,0.65816,0.6609,1,0.61971,0.008119,0.008119,0.008119
21,796.122,0.65671,0.65299,1,0.62644,0.00802,0.00802,0.00802
22,831.301,0.66047,0.64706,1,0.62219,0.007921,0.007921,0.007921
23,869.353,0.65016,0.6693,1,0.60018,0.007822,0.007822,0.007822
24,906.442,0.64557,0.67375,1,0.66252,0.007723,0.007723,0.007723
25,953.146,0.64091,0.70786,1,0.58082,0.007624,0.007624,0.007624
26,996.873,0.63524,0.70094,1,0.59153,0.007525,0.007525,0.007525
27,1040.1,0.62884,0.70934,1,0.57258,0.007426,0.007426,0.007426
28,1085.8,0.62636,0.68562,1,0.58452,0.007327,0.007327,0.007327
29,1128.07,0.63128,0.70242,1,0.59005,0.007228,0.007228,0.007228
30,1173,0.63068,0.72368,1,0.55807,0.007129,0.007129,0.007129
31,1223.5,0.62618,0.72565,1,0.54854,0.00703,0.00703,0.00703
32,1258.61,0.61281,0.71923,1,0.54787,0.006931,0.006931,0.006931
33,1294.19,0.60868,0.73604,1,0.53717,0.006832,0.006832,0.006832
34,1330.07,0.61385,0.74296,1,0.53138,0.006733,0.006733,0.006733
35,1365.68,0.60695,0.7301,1,0.55588,0.006634,0.006634,0.006634
36,1401.37,0.60697,0.75334,1,0.51998,0.006535,0.006535,0.006535
37,1436.99,0.58728,0.7568,1,0.51504,0.006436,0.006436,0.006436
38,1472.71,0.58686,0.74394,1,0.50885,0.006337,0.006337,0.006337
39,1508.8,0.57896,0.74493,1,0.51208,0.006238,0.006238,0.006238
40,2969.29,0.58166,0.75976,1,0.50245,0.006139,0.006139,0.006139
41,3055.21,0.57804,0.76273,1,0.49662,0.00604,0.00604,0.00604
42,3129.38,0.57279,0.7568,1,0.50045,0.005941,0.005941,0.005941
43,3206.15,0.5735,0.77212,1,0.48753,0.005842,0.005842,0.005842
44,3257.39,0.57485,0.77805,1,0.48325,0.005743,0.005743,0.005743
45,3305.7,0.57123,0.78448,1,0.4756,0.005644,0.005644,0.005644
46,3340.08,0.56546,0.77756,1,0.47663,0.005545,0.005545,0.005545
47,3374.13,0.56221,0.77756,1,0.46413,0.005446,0.005446,0.005446
48,3407.91,0.55614,0.78695,1,0.46241,0.005347,0.005347,0.005347
49,3441.05,0.54784,0.77805,1,0.47576,0.005248,0.005248,0.005248
50,3474.78,0.5438,0.783,1,0.45395,0.005149,0.005149,0.005149
51,3507.97,0.53661,0.79041,1,0.45124,0.00505,0.00505,0.00505
52,3541.67,0.54761,0.7909,1,0.44945,0.004951,0.004951,0.004951
53,3588.65,0.53915,0.78349,1,0.45338,0.004852,0.004852,0.004852
54,3637,0.53587,0.79634,1,0.44012,0.004753,0.004753,0.004753
55,3675.44,0.52984,0.80079,1,0.43906,0.004654,0.004654,0.004654
56,3722.46,0.52031,0.79733,1,0.44449,0.004555,0.004555,0.004555
57,3771.58,0.51653,0.80277,1,0.42449,0.004456,0.004456,0.004456
58,3806.55,0.51229,0.80475,1,0.43192,0.004357,0.004357,0.004357
59,3841.68,0.50403,0.80771,1,0.4329,0.004258,0.004258,0.004258
60,3876.74,0.50325,0.81167,1,0.4275,0.004159,0.004159,0.004159
